Datetime,H1,H2,H3,H4,H5,H6,H7,H8,H10,H11,H12,H13,H14,H15,H16,H17,H18,H20
2014-10-26 16:30:00,0.078,0.041,1.008,0.049,0.497,0.178,0.336,0.36,0.062,0.045,2.684,1.999,0.078,0.497,3.433,1.386,0.42,0.219
2014-10-26 16:45:00,0.213,0.041,1.753,0.134,0.536,0.041,0.215,1.448,0.203,0.195,7.694,0.588,0.213,0.536,0.758,1.156,1.044,0.242
2014-10-26 17:00:00,0.055,0.174,0.171,0.034,0.737,0.041,0.16,0.772,0.18,0.186,8.764,0.611,0.055,0.737,0.53,1.484,1.055,0.317
2014-10-26 17:15:00,0.321,0.338,0.062,0.202,0.609,0.064,0.221,0.285,0.062,1.409,6.253,0.607,0.321,0.609,0.729,1.394,1.096,0.417
2014-10-26 17:30:00,0.342,0.253,0.049,0.215,0.587,0.172,0.455,0.771,0.063,1.221,1.498,0.841,0.342,0.587,1.97,1.392,0.941,0.381
2014-10-26 17:45:00,0.476,0.257,0.075,0.3,0.572,0.041,0.348,0.406,0.204,0.267,2.295,0.829,0.476,0.572,3.944,1.233,1.029,0.256
2014-10-26 18:00:00,0.362,0.237,0.218,0.228,0.881,0.041,0.327,0.212,0.217,0.279,1.006,1.512,0.362,0.881,0.779,2.779,2.166,0.2
2014-10-26 18:15:00,0.772,0.257,0.12,0.486,2.6,0.041,0.376,0.084,0.183,0.199,1.361,2.364,0.772,2.6,0.546,2.935,1.149,0.307
2014-10-26 18:30:00,0.447,0.263,0.049,0.282,1.936,0.232,1.278,0.148,0.298,0.195,3.909,0.675,0.447,1.936,2.948,1.092,1.031,0.323
2014-10-26 18:45:00,0.257,0.397,0.049,0.162,1.218,0.169,1.234,0.336,0.608,0.126,4.394,1.701,0.257,1.218,3.654,2.188,1.107,0.24
2014-10-26 19:00:00,0.434,0.594,0.202,0.274,2.961,0.161,1.299,0.366,0.57,0.439,0.633,3.335,0.434,2.961,3.265,2.006,1.695,0.128
2014-10-26 19:15:00,0.401,0.529,0.153,0.253,2.378,0.161,0.609,0.138,0.335,0.297,1.001,3.082,0.401,2.378,0.387,2.693,1.213,0.213
2014-10-26 19:30:00,0.572,0.679,0.242,0.36,0.76,0.385,0.255,0.062,0.257,0.277,0.905,1.773,0.572,0.76,0.256,1.679,1.141,0.216
2014-10-26 19:45:00,0.538,0.643,0.311,0.339,0.857,0.36,0.197,0.648,0.372,0.234,1.788,0.544,0.538,0.857,0.561,1.518,0.877,0.324
2014-10-26 20:00:00,0.846,0.529,0.392,0.533,0.867,0.303,0.358,0.339,0.559,0.143,1.428,0.419,0.846,0.867,0.488,1.085,1.402,0.205
2014-10-26 20:15:00,0.896,0.517,0.449,0.565,1.084,0.307,0.342,0.062,0.545,0.105,1.149,0.656,0.896,1.084,0.532,1.403,1.233,0.158
2014-10-26 20:30:00,0.409,0.602,0.352,0.258,1.025,0.357,0.983,0.062,0.449,0.118,1.019,0.468,0.409,1.025,0.397,1.152,1.009,0.396
2014-10-26 20:45:00,0.802,0.666,0.217,0.505,0.689,0.418,0.413,0.161,0.432,0.261,1.627,0.351,0.802,0.689,0.433,1.014,0.667,0.356
2014-10-26 21:00:00,0.574,0.396,0.174,0.362,0.61,0.296,0.328,0.228,0.382,0.316,1.631,0.254,0.574,0.61,0.715,1.09,1.091,0.327
2014-10-26 21:15:00,0.283,0.401,0.449,0.178,0.711,0.31,0.487,0.108,0.353,0.464,1.326,0.448,0.283,0.711,0.572,0.862,1.242,0.333
2014-10-26 21:30:00,0.337,0.234,0.365,0.213,0.671,0.306,0.343,0.128,0.063,0.312,1.412,0.348,0.337,0.671,0.386,0.834,1.216,0.481
